,Rewards,Epsilon over episodes,Timesteps per episode,Average score over 100 episodes
0,18.0,1.0,18,18.0
1,28.0,1.0,28,23.0
2,17.0,1.0,17,21.0
3,69.0,1.0,69,33.0
4,28.0,1.0,28,32.0
5,26.0,1.0,26,31.0
6,28.0,1.0,28,30.571428571428573
7,11.0,1.0,11,28.125
8,14.0,1.0,14,26.555555555555557
9,21.0,1.0,21,26.0
10,28.0,1.0,28,26.181818181818183
11,10.0,1.0,10,24.833333333333332
12,13.0,1.0,13,23.923076923076923
13,12.0,1.0,12,23.071428571428573
14,13.0,1.0,13,22.4
15,11.0,1.0,11,21.6875
16,11.0,1.0,11,21.058823529411764
17,20.0,1.0,20,21.0
18,20.0,1.0,20,20.94736842105263
19,19.0,1.0,19,20.85
20,18.0,1.0,18,20.714285714285715
21,16.0,1.0,16,20.5
22,31.0,1.0,31,20.956521739130434
23,19.0,1.0,19,20.875
24,40.0,1.0,40,21.64
25,30.0,1.0,30,21.96153846153846
26,24.0,1.0,24,22.037037037037038
27,15.0,1.0,15,21.785714285714285
28,26.0,1.0,26,21.93103448275862
29,30.0,1.0,30,22.2
30,18.0,1.0,18,22.06451612903226
31,38.0,1.0,38,22.5625
32,14.0,1.0,14,22.303030303030305
33,46.0,1.0,46,23.0
34,27.0,1.0,27,23.114285714285714
35,22.0,1.0,22,23.083333333333332
36,23.0,1.0,23,23.08108108108108
37,20.0,1.0,20,23.0
38,15.0,1.0,15,22.794871794871796
39,16.0,1.0,16,22.625
40,13.0,1.0,13,22.390243902439025
41,30.0,1.0,30,22.571428571428573
42,8.0,1.0,8,22.232558139534884
43,12.0,1.0,12,22.0
44,17.0,1.0,17,21.88888888888889
45,37.0,0.99,37,22.217391304347824
46,14.0,0.9801,14,22.04255319148936
47,20.0,0.9702989999999999,20,22.0
48,25.0,0.96059601,25,22.06122448979592
49,45.0,0.9509900498999999,45,22.52
50,16.0,0.9414801494009999,16,22.392156862745097
51,12.0,0.9320653479069899,12,22.192307692307693
52,11.0,0.92274469442792,11,21.9811320754717
53,17.0,0.9135172474836407,17,21.88888888888889
54,17.0,0.9043820750088043,17,21.8
55,12.0,0.8953382542587163,12,21.625
56,18.0,0.8863848717161291,18,21.56140350877193
57,12.0,0.8775210229989678,12,21.396551724137932
58,15.0,0.8687458127689781,15,21.28813559322034
59,40.0,0.8600583546412883,40,21.6
60,15.0,0.8514577710948754,15,21.491803278688526
61,21.0,0.8429431933839266,21,21.483870967741936
62,14.0,0.8345137614500874,14,21.365079365079364
63,13.0,0.8261686238355865,13,21.234375
64,12.0,0.8179069375972307,12,21.092307692307692
65,19.0,0.8097278682212583,19,21.060606060606062
66,13.0,0.8016305895390458,13,20.940298507462686
67,17.0,0.7936142836436553,17,20.88235294117647
68,9.0,0.7856781408072188,9,20.71014492753623
69,12.0,0.7778213593991465,12,20.585714285714285
70,13.0,0.7700431458051551,13,20.47887323943662
71,11.0,0.7623427143471035,11,20.34722222222222
72,12.0,0.7547192872036325,12,20.232876712328768
73,12.0,0.7471720943315961,12,20.12162162162162
74,10.0,0.7397003733882802,10,19.986666666666668
75,13.0,0.7323033696543974,13,19.894736842105264
76,17.0,0.7249803359578534,17,19.857142857142858
77,15.0,0.7177305325982748,15,19.794871794871796
78,11.0,0.7105532272722921,11,19.68354430379747
79,17.0,0.7034476949995692,17,19.65
80,17.0,0.6964132180495735,17,19.617283950617285
81,10.0,0.6894490858690777,10,19.5
82,10.0,0.682554595010387,10,19.3855421686747
83,19.0,0.6757290490602831,19,19.38095238095238
