,Rewards,Timesteps per episode,Average score over 100 episodes
0,11.0,11,11.0
1,13.0,13,12.0
2,27.0,27,17.0
3,16.0,16,16.75
4,20.0,20,17.4
5,34.0,34,20.166666666666668
6,22.0,22,20.428571428571427
7,16.0,16,19.875
8,14.0,14,19.22222222222222
9,13.0,13,18.6
10,11.0,11,17.90909090909091
11,21.0,21,18.166666666666668
12,31.0,31,19.153846153846153
13,25.0,25,19.571428571428573
14,9.0,9,18.866666666666667
15,15.0,15,18.625
16,26.0,26,19.058823529411764
17,26.0,26,19.444444444444443
18,36.0,36,20.31578947368421
19,20.0,20,20.3
20,26.0,26,20.571428571428573
21,11.0,11,20.136363636363637
22,22.0,22,20.217391304347824
23,11.0,11,19.833333333333332
24,13.0,13,19.56
25,20.0,20,19.576923076923077
26,20.0,20,19.59259259259259
27,34.0,34,20.107142857142858
28,11.0,11,19.79310344827586
29,36.0,36,20.333333333333332
30,36.0,36,20.838709677419356
31,25.0,25,20.96875
32,9.0,9,20.606060606060606
33,15.0,15,20.441176470588236
34,55.0,55,21.428571428571427
35,49.0,49,22.194444444444443
36,24.0,24,22.243243243243242
37,51.0,51,23.0
38,37.0,37,23.358974358974358
39,29.0,29,23.5
40,16.0,16,23.317073170731707
41,11.0,11,23.023809523809526
42,26.0,26,23.093023255813954
43,12.0,12,22.84090909090909
44,20.0,20,22.77777777777778
45,11.0,11,22.52173913043478
46,27.0,27,22.617021276595743
47,46.0,46,23.104166666666668
48,59.0,59,23.836734693877553
49,25.0,25,23.86
50,12.0,12,23.627450980392158
51,19.0,19,23.53846153846154
52,19.0,19,23.452830188679247
53,13.0,13,23.25925925925926
54,25.0,25,23.29090909090909
55,40.0,40,23.589285714285715
56,16.0,16,23.45614035087719
57,15.0,15,23.310344827586206
58,27.0,27,23.372881355932204
59,33.0,33,23.533333333333335
60,131.0,131,25.295081967213115
61,15.0,15,25.129032258064516
62,28.0,28,25.174603174603174
63,37.0,37,25.359375
64,30.0,30,25.43076923076923
65,31.0,31,25.515151515151516
66,85.0,85,26.402985074626866
67,15.0,15,26.235294117647058
68,52.0,52,26.608695652173914
69,17.0,17,26.47142857142857
70,70.0,70,27.08450704225352
71,43.0,43,27.305555555555557
72,39.0,39,27.465753424657535
73,45.0,45,27.7027027027027
74,34.0,34,27.786666666666665
75,18.0,18,27.657894736842106
76,68.0,68,28.181818181818183
77,49.0,49,28.44871794871795
78,32.0,32,28.49367088607595
79,21.0,21,28.4
80,46.0,46,28.617283950617285
81,29.0,29,28.621951219512194
82,19.0,19,28.50602409638554
83,97.0,97,29.321428571428573
84,35.0,35,29.388235294117646
85,78.0,78,29.953488372093023
86,50.0,50,30.183908045977013
87,17.0,17,30.03409090909091
88,31.0,31,30.04494382022472
89,37.0,37,30.122222222222224
90,16.0,16,29.967032967032967
91,19.0,19,29.847826086956523
92,40.0,40,29.956989247311828
93,74.0,74,30.425531914893618
94,45.0,45,30.57894736842105
95,101.0,101,31.3125
96,34.0,34,31.34020618556701
97,52.0,52,31.551020408163264
98,41.0,41,31.646464646464647
99,138.0,138,32.71
100,94.0,94,33.54
101,42.0,42,33.83
102,80.0,80,34.36
103,43.0,43,34.63
104,86.0,86,35.29
105,58.0,58,35.53
106,149.0,149,36.8
107,78.0,78,37.42
108,31.0,31,37.59
109,69.0,69,38.15
110,81.0,81,38.85
111,58.0,58,39.22
112,40.0,40,39.31
113,156.0,156,40.62
114,84.0,84,41.37
115,40.0,40,41.62
116,109.0,109,42.45
117,149.0,149,43.68
118,34.0,34,43.66
119,23.0,23,43.69
120,50.0,50,43.93
121,89.0,89,44.71
122,19.0,19,44.68
123,43.0,43,45.0
124,47.0,47,45.34
125,75.0,75,45.89
126,38.0,38,46.07
127,128.0,128,47.01
128,44.0,44,47.34
129,105.0,105,48.03
130,35.0,35,48.02
131,71.0,71,48.48
132,40.0,40,48.79
133,57.0,57,49.21
134,76.0,76,49.42
135,89.0,89,49.82
136,46.0,46,50.04
137,85.0,85,50.38
138,83.0,83,50.84
139,43.0,43,50.98
140,109.0,109,51.91
141,57.0,57,52.37
142,29.0,29,52.4
143,125.0,125,53.53
144,41.0,41,53.74
145,114.0,114,54.77
146,117.0,117,55.67
147,108.0,108,56.29
148,48.0,48,56.18
149,116.0,116,57.09
150,70.0,70,57.67
151,39.0,39,57.87
152,117.0,117,58.85
153,88.0,88,59.6
154,170.0,170,61.05
155,77.0,77,61.42
156,80.0,80,62.06
157,77.0,77,62.68
158,132.0,132,63.73
159,87.0,87,64.27
160,105.0,105,64.01
161,107.0,107,64.93
162,111.0,111,65.76
163,78.0,78,66.17
164,130.0,130,67.17
165,98.0,98,67.84
166,153.0,153,68.52
167,75.0,75,69.12
168,68.0,68,69.28
169,82.0,82,69.93
170,100.0,100,70.23
171,143.0,143,71.23
172,157.0,157,72.41
173,92.0,92,72.88
174,110.0,110,73.64
175,115.0,115,74.61
176,242.0,242,76.35
177,138.0,138,77.24
178,75.0,75,77.67
179,87.0,87,78.33
180,128.0,128,79.15
181,159.0,159,80.45
182,126.0,126,81.52
183,98.0,98,81.53
184,98.0,98,82.16
185,181.0,181,83.19
186,142.0,142,84.11
187,115.0,115,85.09
188,103.0,103,85.81
189,109.0,109,86.53
190,144.0,144,87.81
191,122.0,122,88.84
192,97.0,97,89.41
193,135.0,135,90.02
194,262.0,262,92.19
195,103.0,103,92.21
196,131.0,131,93.18
